step,reward,loss,match_rate
1,1.1022928601635483e-16,1.1854759396256958,0.0
25,1.1022928601635483e-16,1.5587064974755207,0.0
50,1.1022928601635483e-16,2.3896731494477446,0.0
75,1.1022928601635483e-16,3.1996405356344133,0.0
100,1.1022928601635483e-16,3.974225691586901,0.0
125,1.1022928601635483e-16,4.716274985669558,0.0
150,1.1022928601635483e-16,5.428662239069304,0.0
175,1.1022928601635483e-16,6.113757393310099,0.0
200,1.1022928601635483e-16,6.773576790141539,0.0
200,1.1022928601635483e-16,6.773576790141539,0.55
1,1.1022928601635483e-16,1.1854759396256958,0.0
25,1.1022928601635483e-16,1.5587064974755207,0.0
50,1.1022928601635483e-16,2.3896731494477446,0.0
75,1.1022928601635483e-16,3.1996405356344133,0.0
100,1.1022928601635483e-16,3.974225691586901,0.0
125,1.1022928601635483e-16,4.716274985669558,0.0
150,1.1022928601635483e-16,5.428662239069304,0.0
175,1.1022928601635483e-16,6.113757393310099,0.0
200,1.1022928601635483e-16,6.773576790141539,0.0
200,1.1022928601635483e-16,6.773576790141539,0.48333333333333334
1,1.1022928601635483e-16,1.1854759396256958,0.0
25,1.1022928601635483e-16,1.5587064974755207,0.0
50,1.1022928601635483e-16,2.3896731494477446,0.0
75,1.1022928601635483e-16,3.1996405356344133,0.0
100,1.1022928601635483e-16,3.974225691586901,0.0
125,1.1022928601635483e-16,4.716274985669558,0.0
150,1.1022928601635483e-16,5.428662239069304,0.0
175,1.1022928601635483e-16,6.113757393310099,0.0
200,1.1022928601635483e-16,6.773576790141539,0.0
200,1.1022928601635483e-16,6.773576790141539,0.48333333333333334
1,1.1022928601635483e-16,1.1854759396256958,0.0
25,1.1022928601635483e-16,1.5587064974755207,0.0
50,1.1022928601635483e-16,2.3896731494477446,0.0
75,1.1022928601635483e-16,3.1996405356344133,0.0
100,1.1022928601635483e-16,3.974225691586901,0.0
125,1.1022928601635483e-16,4.716274985669558,0.0
150,1.1022928601635483e-16,5.428662239069304,0.0
175,1.1022928601635483e-16,6.113757393310099,0.0
200,1.1022928601635483e-16,6.773576790141539,0.0
200,1.1022928601635483e-16,6.773576790141539,0.38333333333333336
1,1.1022928601635483e-16,1.1854759396256958,0.0
25,1.1022928601635483e-16,1.5587064974755207,0.0
50,1.1022928601635483e-16,2.3896731494477446,0.0
75,1.1022928601635483e-16,3.1996405356344133,0.0
100,1.1022928601635483e-16,3.974225691586901,0.0
125,1.1022928601635483e-16,4.716274985669558,0.0
150,1.1022928601635483e-16,5.428662239069304,0.0
175,1.1022928601635483e-16,6.113757393310099,0.0
200,1.1022928601635483e-16,6.773576790141539,0.0
200,1.1022928601635483e-16,6.773576790141539,0.4666666666666667
1,1.1022928601635483e-16,1.1854759396256958,0.0
25,1.1022928601635483e-16,1.5587064974755207,0.0
50,1.1022928601635483e-16,2.3896731494477446,0.0
75,1.1022928601635483e-16,3.1996405356344133,0.0
100,1.1022928601635483e-16,3.974225691586901,0.0
